"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans","Eggs", "Yogurt1", "Onion1","Milk1"
"Kidney Beans","Eggs", "Yogurt2", "Onion2","Milk2"
"Kidney Beans","Eggs", "Yogurt3", "Onion3","Milk3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans1","Eggs1",  "Onion1"
"Kidney Beans", "Yogurt2", "Onion2","Milk2"
"Kidney Beans1","Eggs3", "Yogurt3", "Onion3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans","Eggs", "Yogurt1", "Onion1","Milk1"
"Kidney Beans","Eggs", "Yogurt2", "Onion2","Milk2"
"Kidney Beans","Eggs", "Yogurt3", "Onion3","Milk3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans1","Eggs1",  "Onion1"
"Kidney Beans", "Yogurt2", "Onion2","Milk2"
"Kidney Beans1","Eggs3", "Yogurt3", "Onion3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans","Eggs", "Yogurt1", "Onion1","Milk1"
"Kidney Beans","Eggs", "Yogurt2", "Onion2","Milk2"
"Kidney Beans","Eggs", "Yogurt3", "Onion3","Milk3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans1","Eggs1",  "Onion1"
"Kidney Beans", "Yogurt2", "Onion2","Milk2"
"Kidney Beans1","Eggs3", "Yogurt3", "Onion3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans","Eggs", "Yogurt1", "Onion1","Milk1"
"Kidney Beans","Eggs", "Yogurt2", "Onion2","Milk2"
"Kidney Beans","Eggs", "Yogurt3", "Onion3","Milk3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans1","Eggs1",  "Onion1"
"Kidney Beans", "Yogurt2", "Onion2","Milk2"
"Kidney Beans1","Eggs3", "Yogurt3", "Onion3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans","Eggs", "Yogurt1", "Onion1","Milk1"
"Kidney Beans","Eggs", "Yogurt2", "Onion2","Milk2"
"Kidney Beans","Eggs", "Yogurt3", "Onion3","Milk3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans1","Eggs1",  "Onion1"
"Kidney Beans", "Yogurt2", "Onion2","Milk2"
"Kidney Beans1","Eggs3", "Yogurt3", "Onion3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans","Eggs", "Yogurt1", "Onion1","Milk1"
"Kidney Beans","Eggs", "Yogurt2", "Onion2","Milk2"
"Kidney Beans","Eggs", "Yogurt3", "Onion3","Milk3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans1","Eggs1",  "Onion1"
"Kidney Beans", "Yogurt2", "Onion2","Milk2"
"Kidney Beans1","Eggs3", "Yogurt3", "Onion3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans","Eggs", "Yogurt1", "Onion1","Milk1"
"Kidney Beans","Eggs", "Yogurt2", "Onion2","Milk2"
"Kidney Beans","Eggs", "Yogurt3", "Onion3","Milk3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans1","Eggs1",  "Onion1"
"Kidney Beans", "Yogurt2", "Onion2","Milk2"
"Kidney Beans1","Eggs3", "Yogurt3", "Onion3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans","Eggs", "Yogurt1", "Onion1","Milk1"
"Kidney Beans","Eggs", "Yogurt2", "Onion2","Milk2"
"Kidney Beans","Eggs", "Yogurt3", "Onion3","Milk3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans1","Eggs1",  "Onion1"
"Kidney Beans", "Yogurt2", "Onion2","Milk2"
"Kidney Beans1","Eggs3", "Yogurt3", "Onion3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans","Eggs", "Yogurt1", "Onion1","Milk1"
"Kidney Beans","Eggs", "Yogurt2", "Onion2","Milk2"
"Kidney Beans","Eggs", "Yogurt3", "Onion3","Milk3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans1","Eggs1",  "Onion1"
"Kidney Beans", "Yogurt2", "Onion2","Milk2"
"Kidney Beans1","Eggs3", "Yogurt3", "Onion3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans","Eggs", "Yogurt1", "Onion1","Milk1"
"Kidney Beans","Eggs", "Yogurt2", "Onion2","Milk2"
"Kidney Beans","Eggs", "Yogurt3", "Onion3","Milk3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans1","Eggs1",  "Onion1"
"Kidney Beans", "Yogurt2", "Onion2","Milk2"
"Kidney Beans1","Eggs3", "Yogurt3", "Onion3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans","Eggs", "Yogurt1", "Onion1","Milk1"
"Kidney Beans","Eggs", "Yogurt2", "Onion2","Milk2"
"Kidney Beans","Eggs", "Yogurt3", "Onion3","Milk3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans1","Eggs1",  "Onion1"
"Kidney Beans", "Yogurt2", "Onion2","Milk2"
"Kidney Beans1","Eggs3", "Yogurt3", "Onion3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans","Eggs", "Yogurt1", "Onion1","Milk1"
"Kidney Beans","Eggs", "Yogurt2", "Onion2","Milk2"
"Kidney Beans","Eggs", "Yogurt3", "Onion3","Milk3"
"Kidney Beans","Eggs", "Yogurt", "Onion","Milk"
"Kidney Beans1","Eggs1",  "Onion1"
"Kidney Beans", "Yogurt2", "Onion2","Milk2"
"Kidney Beans1","Eggs3", "Yogurt3", "Onion3"
